Brand,Product Name,URL,Release Date,Original Review Date,Category,Audience Rating,RR Verdict,Toebox,Pace,Strike Pattern,Material,Terrain,Type,Pros,Cons,Heel stack (mm),Forefoot stack (mm),Drop (mm),Midsole softness (HA),Midsole softness in cold (HA),Midsole softness in cold (%),Insole thickness (mm),Size,Toebox height (mm),Torsional rigidity,Heel counter stiffness,Midsole width - forefoot (mm),Midsole width - heel (mm),Stiffness in cold (N),Stiffness in cold (%),Weight (oz),Weight (g),Breathability,Toebox durability,Heel padding durability,Outsole hardness (HC),Outsole durability (mm),Outsole thickness (mm),Price,Reflective elements,Tongue padding (mm),Tongue: gusset type,Heel tab,Removable insole,Toebox feel,Midfoot feel,Heel feel,Lug depth (mm),Secondary foam softness (HA),Leather/Suede quality,Toe guard durability,Flexibility / Stiffness (average) (N),Toebox width - widest part (average) (mm),Toebox width - big toe (average) (mm)
Salomon,Xa Pro 3D V8,https://runrepeat.com/salomon-xa-pro-3d-v8,,"May 6, 2020",Running,89.0,"Our verdict: While the Salomon XA Pro 3D V8 is a trail running shoe, it easily doubles as our hiking companion. We found it a great option for outdoorsies looking for a hybrid of a running/hiking shoe that would keep them comfortable and supported no matter what the adventure brings. This Salomon shoe offers reliable protection and grip that help us stay in control of any type of trail.",,,Heel strike,"Mesh, Mesh",Trail,"Breathable  |, |, Maximalist","Highly stable and supportive, Great for hiking and backpacking, Grippy on various surfaces, Durable construction, Versatile: trail-to-road, Lots of foot protection, Generously padded inside, Breathable mesh, Quick and easy lacing","Stiff and bulky for running, High heel-to-toe drop",35.0,20.4,14.6,36.9,44.0,19.0,6.7,True to size,,5.0,5.0,104.0,83.7,53.8,21.0,12.35,350.0,4.0,,,85.6,,3.3,$130,No,8.7,,Finger loop,Yes,,,,2.9,,,,44.7,99.2,
Skechers,Max Cushioning Elite,https://runrepeat.com/skechers-max-cushioning-elite,,"Apr 16, 2020",Running,82.0,"Our verdict: With the Skechers Max Cushioning Elite, I experienced market-leading cushioning at a budget-friendly price point. With comfort at the forefront, I commend these shoes for being a great option for beginner runners who want to care for their joints.",,Daily running,Heel strike,"Mesh, Mesh",Road,Maximalist,"Excellent cushioning, Roomy toe-box, Good lockdown, Comfy upper, Great laces, Budget-friendly","No removable insole, Not very durable",42.3,26.2,16.1,,,,,True to size,,,,114.4,99.9,47.1,28.0,11.85,336.0,,,,78.8,,3.2,$90,,5.6,,,,,,,,,,,36.9,97.5,
Adidas,Runfalcon 3,https://runrepeat.com/adidas-runfalcon-3,,"Jul 16, 2023",Running,81.0,"Our verdict: At a budget-friendly $65, the Adidas Runfalcon 3 offers surprising versatility. Perfect for casual runs and stylish enough for daily wear, we found this shoe to be a real all-rounder. However, its lack of bounce and upper durability left us wanting more. In the end, we consider it a reliable option for casual or low-mileage runners seeking a cheap one-shoe-fits-all shoe.",,Daily running,Heel strike,"Mesh, Mesh",Road,"Comfortable  |, |, For heavy runners  |, |, For big guys","Continues to provide exceptional value at only $65, Incredibly durable outsole, Accommodates wide feet comfortably, Offers a flexible ride, Budget-friendly, Versatile enough to serve as a gym shoe, Provides substantial comfort for heel strikers, More cushion than previous versions","Lacks cushioning in the forefoot area, Weighs more than v1 and v2, The upper is not durable at all",31.6,18.0,13.6,24.3,30.1,24.0,3.7,True to size,,3.0,2.0,114.0,94.8,26.8,52.0,9.98,283.0,3.0,1.0,1.0,81.9,0.6,3.0,$65,No,8.0,,,Yes,Medium,Normal,Normal,,,,,17.7,100.4,80.4
Asics,Gel Pulse 13,https://runrepeat.com/asics-gel-pulse-13,,"Jul 27, 2023",Running,81.0,"Our verdict: Among ASICS' long-standing series, the thirteenth version of the ASICS Gel Pulse makes our daily runs a spa for our feet. It's plush and supportive; we observed that going the distance is an easy feat with the Gel Pulse 13. Even more, it's an affordable option that delivers all-around performance whether it's in running, walking, or gym training.",,Daily running,Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable","Soft cushion for easy days, No break-in period needed, Outsole is grippy and durable, Supports moderately flat feet, Roomy toebox, Perfect for beginners, Budget-friendly","Not for narrow feet, Lacks responsiveness, Toebox durability leaves much to be desired",32.6,21.6,11.0,22.5,31.3,39.0,4.5,True to size,,2.0,3.0,111.3,86.8,33.3,138.0,10.26,291.0,5.0,1.0,,80.8,,5.1,$90,No,4.8,,,Yes,Medium,Normal,Normal,,,,,14.0,94.4,77.9
Nike,Air Zoom Terra Kiger 6,https://runrepeat.com/nike-air-zoom-terra-kiger-6,Mar 2020,"Apr 29, 2020",Running,87.0,"Our verdict: I noticed that the sixth version of the Nike Terra Kiger doesn’t try to change hugely from the Terra Kiger 5, except in a few ways. The fastest trail shoe from Nike, the Terra Kiger 6 feels lower to the ground, and more form-fitting than its ancestor, making it better for those race days, but less capable of taking me long distances in my runs.",,,Forefoot/Midfoot strike,"Mesh, Mesh",Trail,Low drop,"Fits true to size, Grip is great in dry conditions, Secure lacing and lockdown, Responsive, Excellent heel-loop, Durable construction, Air Zoom unit makes a difference, Great ground feel, Amazing colorways","Tight in the toe box, Not enough cushioning for longer runs, Lack of grip on wet trails, Not much protection underfoot, Could be lighter",19.6,15.2,4.4,,,,4.6,,,,,112.0,88.1,37.2,19.0,11.18,317.0,,,,80.0,,6.0,$130,,4.8,Both sides (full),,,,,,4.8,,,,31.2,103.8,
Allbirds,Tree Dasher,https://runrepeat.com/allbirds-tree-dasher,,"Mar 18, 2022",Running,91.0,"Our verdict: The Allbirds Tree Dasher is the brand's first running shoe, and we're happy to report that it's not a miss. Apart from championing sustainability, this shoe manifests versatility. From easy days to moderately fast runs, walking, and gym training, we think that it's a perfect pick for beginners and long-time runners alike. Overall, if you care for your feet and the environment, the Tree Dasher is a must-have.",,Daily running,Forefoot/Midfoot strike,Knit,Road,Breathable,"Peppy on moderate tempos, Stable on uneven surfaces, Stays comfortable all day, Versatile in use, Great lockdown, Stretchy upper, Roomy toe box, Durable outsole, Uses eco-friendly materials, Clean & attractive design","Not for narrow feet, Poor grip on wet surfaces, Bottom-heavy",29.4,23.4,6.0,26.4,33.8,28.0,5.6,True to size,,2.0,2.0,115.4,96.2,53.5,79.0,10.62,301.0,5.0,,,82.4,,4.3,$125,No,2.9,Sock like,,Yes,,,,,,,,30.0,99.1,
Adidas,Questar,https://runrepeat.com/adidas-questar,,"Apr 3, 2022",Running,82.0,"Our verdict: The Adidas Questar is a road running shoe that's perfect for beginners and casual runners who want a comfortable, easy-pace running shoe. We found it quite comfortable and not hurting the feet at all. Even better, it doesn't hurt the wallet with its price tag either. Overall, if you want a versatile running shoe that's perfect for daily runs and long walks, we believe that the Questar will do the job.",,Daily running,Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, For heavy runners  |, |, For big guys","Comfy for recovery days, Excellent walking shoe, Soft upper, Breathable for summer runs, Perfect for beginners, Affordable price, Upper made with recycled plastic","A no-no for wide feet, Hard to put on for some",32.6,22.1,10.5,27.9,34.6,24.0,3.3,True to size,,4.0,3.0,118.9,96.1,49.0,49.0,10.93,310.0,5.0,,,81.7,,3.2,$75,No,8.0,,Finger loop,Yes,,,,,,,,33.0,96.6,
Brooks,Aurora Bl,https://runrepeat.com/brooks-aurora-bl,"Jun 17, 2021","May 16, 2024",Running,90.0,"Our verdict: If you're on the hunt for a shoe with a futuristic design and NASA-like vibes, look no further than the Aurora-BL. This head-turning daily trainer offers a plush and comfortable ride in a surprisingly lightweight package, although we found that it sacrifices some durability. We believe that the Aurora-BL certainly delivers for folks in search of a standout premium workhorse.",,Daily running,Heel strike,"Mesh, Mesh",Road,"Comfortable  |, |, Maximalist  |, |, Lightweight","Exceptionally plush ride, Highly flexible design, Distinctive, eye-catching style, Devours miles effortlessly, Ideal for easy runs, Fun ride, Cutting-edge design","Durability concerns, Lacks tongue padding, Premium price point",37.0,28.3,8.7,15.3,18.6,22.0,5.0,Slightly large,,1.0,3.0,119.4,102.1,27.5,36.0,8.71,247.0,3.0,1.0,1.0,81.0,0.7,3.1,$200,No,1.0,Bootie,Extended heel collar,Yes,,,,,,,,20.2,97.3,78.3
Adidas,Galaxy 6,https://runrepeat.com/adidas-galaxy-6,,"Aug 6, 2023",Running,82.0,"Our verdict: For $60, we think that the Adidas Galaxy 6 is a real steal—unless you're put off by its noticeable weight and lackluster breathability. But if you can roll with these, you're in for some premium perks: generous comfort in the upper, comfy cushioning, amazing stability, and a sleek look—all without breaking the bank. Oh, and we do believe that it's a stellar pick for those just starting their running journey!",,Daily running,Heel strike,"Mesh, Mesh",Road,"Comfortable  |, |, For heavy runners  |, |, For big guys","Ideal for wide feet, Well-padded midsole, Comfortable upper material, Suitable for winter runs, Stable, Great for beginners, Ideal for easy runs, Excellent value","Subpar breathability, Excessively heavy",33.9,22.9,11.0,22.9,31.3,37.0,3.8,True to size,,4.0,1.0,120.3,103.7,36.8,71.0,11.71,332.0,2.0,1.0,1.0,76.4,1.1,3.0,$60,No,3.5,,,Yes,Wide,Normal,Normal,,,,,21.5,107.2,81.8
Nike,Renew Ride 3,https://runrepeat.com/nike-renew-ride-3,,"Aug 4, 2022",Running,75.0,"Our verdict: The Nike Renew Ride 3 is a budget-friendly daily trainer perfect for runners seeking a comfortable experience. While it may feel somewhat firm and lack significant bounce, we still found the shoe to be cushy and protective. Moreover, the Nike Renew Ride 3 offers lasting support for your foot without adding unnecessary weight, and it's really durable.",,Daily running,Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, Maximalist","Comfy all-day, Swallows all the impact, Supportive underfoot, Puts a spring in your step, Budget-friendly, Lightweight, Ready for warm days","A no-no for wide feet, Firm if you love soft midsoles, Midsole lacks energy return",36.4,26.2,10.2,23.5,28.6,22.0,4.2,True to size,,3.0,4.0,105.5,90.2,34.1,19.0,10.23,290.0,4.0,1.0,1.0,91.8,,3.9,$80,No,8.8,,,Yes,Medium,Normal,Normal,,,,,28.6,93.5,75.2
Salomon,Xa Pro 3D Gtx,https://runrepeat.com/salomon-xa-pro-3d-gtx,,"Dec 15, 2015",Running,87.0,"Our verdict: We established that the Salomon XA Pro 3D GTX is a durable and worthwhile trail shoe. This is why, we recommend it for hikers, backpackers, and adventurous runners who are in need of heavy-duty footwear in tackling arduous challenges.",,,Heel strike,"Reflective, Reflective",Trail,,"Outstanding waterproofing, Highly durable, Stable platform, Solid grip, Also great for hiking, Roomy toebox, Convenient lacing","Heavy, Stiff sole, Narrow midfoot",31.9,18.8,13.1,39.0,48.4,24.0,5.5,True to size,,5.0,5.0,102.5,83.8,56.5,9.0,13.37,379.0,1.0,,,85.1,,3.0,$160,Yes,5.8,Both sides (semi),Finger loop,Yes,,,,2.9,,,,51.7,99.4,
Skechers,Gorun Razor Excess,https://runrepeat.com/skechers-gorun-razor-excess,Apr 2021,"Mar 31, 2021",Running,81.0,"Our verdict: Donning the Skechers GOrun Razor Excess is light, fast, fun, and comfortable. The hits from Skechers keep coming and the Razor line as a whole is fantastic. This Razor Excess has more of their amazing Hyper Burst midsole than past models, which provided my feet with a bit more comfort and padding for longer efforts or even daily training. Don’t be fooled though, this unicorn can toe the line on race day and carry speed through tempo workouts. It can do just about everything!",,Tempo,Forefoot/Midfoot strike,"Mesh, Mesh",Road,Lightweight,"Ultra-lightweight, Fast, Comfortable, Breathable, Grippy, Value at $140, Cool colorways, True to size, Fits wide feet","Narrow feet beware, Adaptation period needed",27.4,21.0,6.4,,,,2.8,Slightly large,,4.0,3.0,113.2,87.3,49.1,52.0,7.13,202.0,,,,72.5,,1.9,$140,,5.1,,,No,,,,,,,,32.3,95.7,
Nike,Juniper Trail 2 Gtx,https://runrepeat.com/nike-juniper-trail-2-gtx,,"Apr 1, 2024",Running,76.0,"Our verdict: We found the Nike Juniper Trail 2 GTX to excel as a versatile, door-to-trail waterproof option—perfect for both newcomers and seasoned trail enthusiasts. Despite its firm midsole, this model still impresses with a spacious toebox, rugged upper, and seamless road-to-trail adaptability. However, the notable price jump ($45) from its non-GTX counterpart and the lackluster energy return might not appeal to everyone.",,,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Trail,"For heavy runners  |, |, For big guys","Impressive upgrade, Top-notch waterproofing, Amazing durability, Exceptional stability, Ideal for heel strikers, Spacious toebox, Excellent for winter conditions","High price increase, Firm ride, Grip could improve",34.5,24.3,10.2,30.3,36.3,20.0,4.1,True to size,25.4,4.0,3.0,114.4,94.3,25.1,16.0,10.34,293.0,2.0,5.0,5.0,88.9,0.9,1.9,$130,Yes,8.8,Both sides (semi),Finger loop,Yes,,,,2.7,,,,21.7,99.95,79.2
Adidas,Solarboost 5,https://runrepeat.com/adidas-solarboost-5,,"May 3, 2024",Running,87.0,"Our verdict: The Adidas Solarboost 5 marks a notable shift, replacing Boost foam with new Light Boost. While maintaining moderate cushioning and a firm feel underfoot—diverging from plush, maximalist trends—it impressed us with excellent stability and comfort. However, its upper could use more ventilation, we think it's still a bit heavy. Overall, we found the Solarboost 5 to be a solid, fairly-priced choice for runners prioritizing support.",,Daily running,Heel strike,"Mesh, Mesh",Road,"For heavy runners  |, |, For big guys","Gusseted tongue, All-around comfort, Grippy outsole, Lightest Solarboost yet, Superb stability, Durable upper, Enhanced cushioning, Ideal for heel strikers","Not summer-friendly, Outsole durability concerns, Remains slightly heavy",32.9,23.1,9.8,33.5,34.1,2.0,5.7,True to size,,3.0,3.0,117.0,98.3,22.2,4.0,10.34,293.0,2.0,3.0,5.0,88.6,2.5,2.0,$120,No,10.2,Both sides (full),Extended heel collar,Yes,,,,,,,,21.3,100.2,80.7
Asics,Gt 1000 9,https://runrepeat.com/asics-gt-1000-9,,"Feb 28, 2020",Running,88.0,"Our verdict: The ASICS GT 1000 series is alive and well in its ninth iteration. I found that the ASICS GT 1000 9 is a budget-friendly stability shoe that's also perfect for everyday jogs. With some excellent features like ASICS' flagship gel cushioning, great arch support, and impressive grip, I am as balanced as I can be while logging the miles.",,Daily running,Forefoot/Midfoot strike,"Mesh, Mesh",Road,,"Great grip, Decent cushioning, Excellent stability shoe for over-pronators, Durable, Fits true to size, Arch support","Some heel slip, Might be too warm for some",31.6,25.6,6.0,,,,4.7,,,4.0,4.0,115.2,89.0,28.3,26.0,10.09,286.0,,,,85.0,,5.0,$100,,,,,Yes,,,,,,,,22.5,102.9,
Jordan,React Havoc,https://runrepeat.com/jordan-react-havoc,Jul 2019,"Sep 5, 2019",Running,83.0,"Our verdict: Nike’s Jordan React Havoc is a super-versatile running shoe that can stand on its own during my fast-paced workouts and training. With this running shoe, I am treated with extra bonuses like an Air Zoom unit, great ankle support, and React Foam, so there’s little to dislike about it.",,Daily running,Heel strike,"Mesh, Mesh",Road,,"Fits true to size, Excellent heel support, Great React cushioning, Responsive Air Zoom unit, Grippy outsole, Durable","Lackluster lacing, Air Zoom pushing against the outsole",32.3,22.1,10.2,,,,4.4,,,,,111.3,85.8,31.9,8.0,9.45,268.0,,,,87.0,,3.4,$130,,3.8,,,,,,,,,,,29.6,98.0,
Asics,Gel Contend 7,https://runrepeat.com/asics-gel-contend-7,Feb 2021,"Mar 21, 2021",Running,84.0,"Our verdict: If you're looking for one of the best-value running shoes out there, the ASICS Gel Contend 7 is it. I love that this shoe provided ample cushioning for short to medium-length runs. The tough construction of the Gel Contend 7 also exceeded my expectations for its price bracket.",,Daily running,Heel strike,"Mesh, Mesh",Road,,"Fits true to size, Good heel lock, Stable, A fair amount of cushioning, Value for money, Durable, grippy outsole, Guidance line keeps the foot steady","Rubber outsole is squeaky, Not comfortable on longer runs, Inefficient arch support",33.3,23.7,9.6,,,,5.3,True to size,,,2.0,115.0,94.2,41.9,59.0,9.45,268.0,,,,84.5,,3.0,$65,,10.3,,,Yes,,,,,,,,26.4,100.6,
Reebok,Lite 3,https://runrepeat.com/reebok-lite-3,,"Jun 12, 2022",Running,80.0,"Our verdict: As observed in our wear tests, the Lite 3 from Reebok is a daily trainer whose chief focus is comfort. We really enjoyed its plush and lively ride that doesn't cost an arm and a leg. At $65, it's a budget running shoe that we feel is perfect for runners who want a bang for their buck. And if it's a supportive neutral shoe you're after, the Reebok Lite 3 won't be anticlimactic.",,Daily running,Heel strike,"Mesh, Mesh",Road,"Comfortable  |, |, Lightweight","Comfortable all day, A fun, peppy ride, Supportive underfoot, Affordable, Welcomes wide feet, Grippy on roads & light trails, Great for the gym and walking","Laces are short, Poor outsole durability, Not for hot days",32.7,19.3,13.4,22.5,32.0,42.0,5.5,True to size,,2.0,2.0,117.7,88.5,39.6,62.0,8.75,248.0,2.0,,,75.5,,0.0,$65,No,3.9,,,No,,,,,,,,24.4,99.3,
Scarpa,Spin Planet,https://runrepeat.com/scarpa-spin-planet,,"Sep 26, 2024",Running,88.0,"Our verdict: The Scarpa Spin Planet impressed us with its cool name and bold design. During our evaluation, we really liked its highly breathable upper and the innovative tongue design that offers a secure and comfortable fit. We also found that this door-to-trail shoe excels in stability and grip, making it suitable for various conditions. However, we were disappointed by the heavier weight and lack of energy return—clear areas that could benefit from significant improvement in future versions.",,,Forefoot/Midfoot strike,"Mesh, Mesh",Trail,"Breathable  |, |, Comfortable  |, |, For heavy runners  |, |, For big guys","100% recycled upper, One-of-a-kind tongue, High build quality, Breathability, Stable ride, Fantastic lug design, Works for hiking too, Great for midfoot strikers","Subpar energy return, Noticeably heavy, No reflective elements",32.8,26.6,6.2,23.0,30.1,31.0,3.9,True to size,,5.0,3.0,110.9,95.1,34.5,18.0,11.36,322.0,5.0,3.0,5.0,83.9,1.2,1.5,$160,No,4.5,Both sides (full),Finger loop,Yes,,,,3.2,,,,29.2,101.8,76.1
Nike,Zoom Terra Kiger 8,https://runrepeat.com/nike-zoom-terra-kiger-8,Mar 2022,"Apr 4, 2022",Running,85.0,"Our verdict: The Nike Zoom Terra Kiger 8 remains the brand's staple lightweight and nimble trail running shoe fit for mid to high-mileage runs. It offers a protective and responsive ride that we find perfect for moderate to fast paces on almost all trail surfaces. Overall, if you want to up your speed may it be on training or race days, we believe that the Terra Kiger 8 will deliver without fail.",,,Forefoot/Midfoot strike,"Mesh, Mesh",Trail,,"Energetic and responsive ride, Grippy on light mud, dry rocks & loose trails, Protective cushion, Amazing heel hold, Upper doesn't need break-in, Airy even during hot days, Cheaper price, Stunning looks","Poor grip on wet surfaces, Might hurt feet on hard surfaces",28.1,22.2,5.9,34.0,44.5,31.0,3.5,,,3.0,2.0,110.9,87.1,37.7,31.0,10.79,306.0,,,,84.0,,2.0,$140,No,6.0,Both sides (full),Finger loop,Yes,,,,3.9,,,,28.8,98.6,
Brooks,Launch 8,https://runrepeat.com/brooks-launch-8,"Jan 01, 2021","Dec 22, 2020",Running,90.0,"Our verdict: A shoe that literally launches me forward - the Brooks Launch 8! Easily, it's one of my best picks for tempo training shoes that don't break the bank. For a budget shoe, it goes above and beyond in areas of lightness, speed, and durability - something most speedsters don't possess! If you already have an easy-day and race-day shoe, this will complete your rotation. And if you want a light daily running shoe, I believe that it can fit the bill too!",,Tempo,Heel strike,"Mesh, Vegan, Mesh, ,",Road,Lightweight,"Hugs your feet, No heel slipping, Breathable, Surprisingly flexible, Easy to slide into, Elf tab, Feels light and fast, Affordable tempo trainer",Not for slick surfaces,30.5,20.9,9.6,,,,6.3,True to size,,3.0,,111.3,89.5,,,8.47,240.0,,,,,,3.2,$100,,4.0,,Pull tab,Yes,,,,,,,,,97.3,
Nike,Air Zoom Pegasus 38 Flyease,https://runrepeat.com/nike-air-zoom-pegasus-38-flyease,"Apr 29, 2021","May 17, 2021",Running,77.0,"Our verdict: The Nike Pegasus 38 was already one of my favorite daily workhorses. With an added easy on/off FlyEase zipper and lacing, I found the Pegasus 38s more accessible not only to me but to more people. I also felt fast when clocking in miles with this one, so that's definitely a plus!",,Daily running,Heel strike,"Mesh, Mesh",Road,,"Excellent cushioning, Easy on/off, A perfect all-rounder, Lots and lots and lots of grip!, Excellent lockdown, Can go fast",Narrow fit,31.8,23.1,8.7,,,,4.4,,,,,109.5,80.7,36.2,31.0,9.7,275.0,,,,87.5,,3.7,$120,,5.6,,,,,,,,,,,27.6,99.3,
Nike,React Miler 3,https://runrepeat.com/nike-react-miler-3,Mar 2022,"Aug 7, 2022",Running,74.0,"Our verdict: On our tests, we witnessed how comfortable, well-cushioned, protective, and ideal for daily runs of any distance the Nike React Miler 3 is. It might not stand out as one of the best road shoes out there, but it offers a smooth, predictable ride and gets the job done. On top of this, it's reasonably priced and we see it as a good choice for beginners who prefer slow-paced runs.",,Daily running,Heel strike,"Mesh, Mesh",Road,Comfortable,"Responsive, Padded upper, Comfortable for long runs, Stable, Stretchy toe box, Perfect for wider feet, Competitive price","Definitely warm, On the heavy side, Outsole could be grippier, Heel slips for some",31.4,21.6,9.8,17.3,24.1,40.0,3.0,,,3.0,5.0,110.9,90.1,46.6,43.0,10.48,297.0,,,,89.0,,2.4,$120,,7.9,Both sides (full),,Yes,,,,,,,,32.5,98.2,
Nike,Zoom X Invincible Run,https://runrepeat.com/nike-zoom-x-invincible-run,"Jan 07, 2021","Jan 18, 2021",Running,89.0,"Our verdict: Now, this is what I call FUN! The Nike ZoomX Invincible Run literally made me feel like each step was made of springs. It's NOT going to pace you, but it will make your runs lively and effortless! If you want a premium daily trainer that's going to work best on long, easy days on the road, I tell you, this is THE best of its kind.",,Daily running,Heel strike,Knit,Road,Maximalist,"Super-cushioned, Insanely fun and bouncy ride, Great grip, Impressive foot lockdown, Stretchy toebox, Good for wider feet, Not weighing you down, Really breathable","Unstable on uneven terrain, Really tall, Break-in period needed",38.1,27.2,10.9,,,,3.6,True to size,,2.0,,118.4,101.5,,,9.81,278.0,,,,,,3.8,$180,,8.5,Both sides (full),,Yes,,,,,,,,,104.2,
On,Cloudrunner 2 Waterproof,https://runrepeat.com/on-cloudrunner-2-waterproof,,"Nov 22, 2024",Running,67.0,"Our verdict: The On Cloudrunner 2 Waterproof is a strong pick for runners needing a winter-ready, weather-resistant shoe, but it’s not ideal for everyone. In our tests, we found the firm midsole and heavy design may not suit those preferring lighter, softer shoes. However, we were impressed by its premium build, reliable traction, and excellent stability, making it a fantastic option for harsh weather running and walking.",,Daily running,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","Well cushioned, Amazing reflective elements for safety, Reinforced waterproof upper, Fantastic stability, Excellent for cold, wet winters, Build quality, Doubles as a walking shoe, Reliable grip","Unnecessarily heavy, Heel durability issues, Priced higher than competitors, Firm midsole",35.8,27.5,8.3,28.1,34.3,22.0,4.2,True to size,25.4,5.0,5.0,119.0,96.2,31.1,18.0,11.39,323.0,1.0,3.0,1.0,84.5,0.8,3.0,$170,Yes,8.0,Both sides (full),,Yes,,,,,,,,26.3,96.4,74.8
Brooks,Anthem 4,https://runrepeat.com/brooks-anthem-4,Feb 2021,"Mar 12, 2021",Running,81.0,"Our verdict: As a shoe that entices runners on a budget, I found that the Brooks Anthem 4 offers nothing but lightness and comfort! It's a simple, no-fuss running shoe that's generic, as I found that it works for most types of runs - recovery runs, easy long runs, and 5Ks. Just don't expect it to wow you because it's not cut out for performance-oriented running.",,Daily running,Heel strike,"Mesh, Vegan, Mesh, ,",Road,"Breathable  |, |, Lightweight","Affordable, Light and nimble, Runs cool, True to size, No hot spots or rubbing","Uninspiring ride, Not responsive",32.5,21.4,11.1,,,,4.5,,,2.0,4.0,113.4,89.9,46.2,90.0,8.64,245.0,4.0,,,83.0,,3.4,$85,,5.6,,,Yes,,,,,,,,24.3,97.8,
Asics,Gel Excite 8,https://runrepeat.com/asics-gel-excite-8,,"May 6, 2021",Running,83.0,"Our verdict: The ASICS Gel Excite 8 is an all-around runner, which in my opinion, is suitable for those who want a mixture of an easy training shoe and something that could work for everyday wear. With simplicity at its core, the Gel Excite 8 gets right what it needs to and doesn’t worry about anything else.",,Daily running,Heel strike,"Mesh, Mesh",Road,Maximalist,"Fits true to size, Good cushioning, Breathable upper, Very consistent midsole, Reliable grip, Good heel lockdown",Could provide longer laces,35.8,23.5,12.3,,,,5.5,True to size,,,,113.7,90.6,21.5,7.0,9.45,268.0,,,,79.7,,4.3,$75,,10.3,,,,,,,,,,,20.0,97.3,
Xero,Speed Force Ii,https://runrepeat.com/xero-shoes-speed-force-ii,,"Dec 4, 2024",Running,89.0,"Our verdict: For runners seeking a true minimalist experience, the Xero Shoes Speed Force II delivers impressively across key areas. It has a breathable upper, real zero-drop geometry, and exceptional flexibility for natural movement. During our testing, we loved how the anatomical fit felt snug yet unrestricted, offering a barefoot-like ride that feels great on both pavement and smooth dirt roads. While we think it’s slightly heavy for its size, we firmly believe it stands as one of the most versatile minimalist shoes on the market.",,Tempo,Forefoot/Midfoot strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Breathable  |, |, Low drop  |, |, Zero drop  |, |, Minimalist  |, |, Barefoot  |, |, Lightweight","Excels at walking and casual use, Well-priced for its features, Anatomical toebox for exceptional toe splay, Adjustable strap system, Capable on dirt roads and light trails, Lighter than the HFS series, True zero-drop platform, Exceptional flexibility, Great traction, Breathable upper","Slightly heavy for its size, Outsole durability could be better, Not the most comfortable",10.6,10.5,0.1,,,0.0,3.9,,,1.0,1.0,108.2,73.0,4.2,27.0,6.67,189.0,5.0,3.0,2.0,87.5,1.4,5.0,$110,Yes,2.7,,,Yes,,,,,,,,3.3,98.5,87.4
Hoka,Arahi 5,https://runrepeat.com/hoka-arahi-5,Mar 2021,"Feb 24, 2021",Running,89.0,"Our verdict: The absolute highlight of the Arahi 5 is its SUPER plush cushioning. It's a max-cushioned trainer that I think is perfect for recovery days and the long haul on the road. Even better, it is the embodiment of ""looks can be deceiving"" - it's big and clunky, but truly, it disappears on foot!",,Daily running,Forefoot/Midfoot strike,"Mesh, Vegan, Mesh, ,",Road,,"Super plush, Balanced ride, Good grip, Wide feet friendly, Removable Ortholite insole, Lightweight, Added stability for heel strikers, Durable, Breathable","Sloppy fit, Lacks support on turns",33.8,28.8,5.0,,,,4.5,True to size,,4.0,,116.0,97.2,,,9.28,263.0,,,,,,3.7,$130,,7.9,Both sides (full),Pull tab,Yes,,,,,,,,,97.5,
Hoka,Gaviota 3,https://runrepeat.com/hoka-gaviota-3,Feb 2021,"Mar 1, 2021",Running,87.0,"Our verdict: Heavily padded, and cushioned, and keeps my feet's motions in check, it doesn't get any more stable than the Gaviota 3 from Hoka! With all the cushion and support it provides, I found this motion control running shoe not only suits overpronators but also heavy runners. If there's a stability version of the Bondi, it's THIS. Ultimately, it's a shoe I recommend for daily runs rather than fast, uptempo paces.",,Daily running,Heel strike,"Vegan, Mesh, ,, Mesh",Road,Maximalist,"Cushioned for heavier runners, Tuned for overpronators, Super stable, wide platform, Extremely durable, Plush, padded upper, Roomy toebox","A bit too stiff, Heavy, Tongue bunches up",39.4,29.8,9.6,,,,4.6,True to size,,3.0,,117.9,105.2,,,11.22,318.0,,,,,,3.5,$160,,10.3,Both sides (semi),Finger loop,Yes,,,,,,,,,97.3,
